id,id_objecta,id_spr_etap_rabot,id_otvetstvennogo,id_avtor,data_nachala_rabot,data_okonchaniya_rabot,document_number,srok_dney,comment,status
9851,212045148,8,6,6,2012-07-27,2012-07-27,,,," ? ??????"
9852,212045149,80,14,14,2012-08-10,2012-08-10,,,," ? ??????"
9853,212045150,8,6,6,2012-07-23,2012-07-23,,,," ? ??????"
9854,212045151,80,14,14,2012-07-30,2012-07-30,,,," ? ??????"
9855,212045152,8,13,13,2012-08-06,2012-08-04,,,," ? ??????"
9856,212045153,9,14,14,2012-07-23,2012-07-20,176,,," ? ??????"
9857,212045154,9,14,14,2012-07-23,2012-07-20,175,,," ? ??????"
9858,212045155,8,6,6,2012-07-30,2012-07-28,,,," ? ??????"
9859,212045156,8,6,6,2012-08-06,2012-08-04,,,," ? ??????"
9860,212045157,8,6,6,2012-07-30,2012-07-28,,,," ? ??????"
9861,212045158,8,6,6,2012-08-08,2012-08-08,,,," ? ??????"
9862,212045159,8,6,6,2012-08-21,2012-08-21,,,," ? ??????"
9863,212045160,8,6,6,2012-07-26,2012-07-26,,,," ? ??????"
9864,212045161,9,13,13,2012-07-23,2012-07-23,184,,," ? ??????"
9865,212045162,9,14,14,2012-07-23,2012-07-20,174,,," ? ??????"
9866,212045163,8,6,6,2012-08-22,2012-08-22,,,," ? ??????"
9867,212045164,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9868,212045165,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9869,212045166,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9870,212045167,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9871,212045168,8,6,6,2012-08-24,2012-08-24,,,," ? ??????"
9872,212045169,8,6,6,2012-08-23,2012-08-23,,,," ? ??????"
9873,212045170,80,14,14,2012-08-16,2012-08-16,,,," ? ??????"
9874,212045171,8,14,14,2012-09-28,2012-09-28,,,," ? ??????"
9875,212045172,8,6,6,2012-10-01,2012-10-01,,,," ? ??????"
9876,212045173,8,14,14,2012-09-24,2012-09-24,,,," ? ??????"
9877,212045174,9,14,14,2012-10-03,2012-10-03,383,,," ? ??????"
9878,212045175,9,20,20,2012-09-27,2012-09-27,360,,," ? ??????"
9879,212045176,9,20,20,2012-09-27,2012-09-27,367,,," ? ??????"
9880,212045177,8,14,14,2012-09-24,2012-09-24,,,," ? ??????"
9881,212045178,9,20,20,2012-09-27,2012-09-27,364,,," ? ??????"
9882,212045179,8,6,6,2012-09-28,2012-09-28,,,"02.10.12 ??????? ??????? ????? ??????????? ????????? ???. ?? ?? ??????????? ?????? ??"," ? ??????"
9883,212045180,9,20,20,2012-09-27,2012-09-27,366,,," ? ??????"
9884,212045181,9,14,14,2012-10-03,2012-10-03,381,,," ? ??????"
9885,212045182,8,6,6,2012-09-18,2012-09-19,,,," ? ??????"
9886,212045183,8,6,6,2012-09-18,2012-09-18,,,," ? ??????"
9887,212045184,8,14,14,2012-09-24,2012-09-24,,,," ? ??????"
9888,212045185,8,14,14,2012-09-20,2012-09-20,,,," ? ??????"
9889,212045186,8,14,14,2012-10-02,2012-10-02,,,," ? ??????"
9890,212045187,8,6,6,2012-10-01,2012-10-01,,,," ? ??????"
9891,212045188,8,14,14,2012-10-02,2012-10-02,,,," ? ??????"
9892,212045189,9,14,14,2012-10-03,2012-10-03,382,,," ? ??????"
9893,212045190,8,14,14,2012-09-20,2012-09-20,,,," ? ??????"
9894,212045191,8,6,6,2012-09-17,2012-09-17,,,," ? ??????"
9895,212045192,9,20,20,2012-09-27,2012-09-27,362,,," ? ??????"
9896,212045193,8,6,6,2012-09-12,2012-09-12,,,," ? ??????"
9897,212045194,9,20,20,2012-09-27,2012-09-27,365,,," ? ??????"
9898,212045195,8,14,14,2012-09-28,2012-09-28,,,," ? ??????"
9899,212045196,8,6,6,2012-09-12,2012-09-12,,,," ? ??????"
9900,212045197,8,6,6,2012-08-27,2012-08-27,,,," ? ??????"
9901,213034100,44,20,20,2013-06-21,2013-06-21,,,," ? ??????"
9902,213034101,44,20,20,2013-06-21,2013-06-21,,,," ? ??????"
9903,213034102,44,20,20,2013-06-21,2013-06-21,,,," ? ??????"
9904,213034103,8,6,6,2013-08-15,2013-08-15,,,," ? ??????"
9905,213034104,67,20,20,2013-08-14,2013-08-14,409,,," ? ??????"
9906,213034105,67,20,20,2013-08-20,2013-08-20,542,,," ? ??????"
9907,213034106,67,20,20,2013-08-20,2013-08-20,543,,," ? ??????"
9908,213034107,67,20,20,2013-08-27,2013-08-27,,,," ? ??????"
9909,213034108,67,20,20,2013-08-27,2013-08-27,,,," ? ??????"
9910,213034109,67,20,20,2013-08-27,2013-08-27,,,," ? ??????"
